157
   11.000000000    3620.410066340       0.987254490	6.720600
   11.541000000    3185.529259350       1.018939840	6.714968
   11.547000000    4384.441042300       1.019225132	6.714916
   12.098000000    3915.821162260       1.049934178	6.709186
   12.102000000    4522.186192220       1.050207031	6.709134
   21.000000000    1077.100411178       1.432634262	6.618400
   31.000000000     378.361840106       1.687741385	6.523000
   41.000000000     176.358973603       1.830245150	6.433400
   51.000000000      96.643833018       1.909434439	6.347700
   61.000000000      58.818648387       1.952226032	6.265400
   69.523000000      40.874888182       1.971781742	6.200629
   69.527000000     208.411327341       1.971789364	6.200591
   71.000000000     197.094947778       1.973847950	6.189400
   81.000000000     139.018287853       1.980151399	6.114050
   91.000000000     102.581884669       1.977300066	6.044550
  101.000000000      78.088168186       1.968103866	5.975900
  111.000000000      60.777382786       1.954332792	5.914900
  121.000000000      48.211697297       1.937464202	5.853900
  131.000000000      38.895074419       1.918556583	5.792900
  141.000000000      31.854835203       1.898349334	5.731900
  151.000000000      26.442999441       1.877364003	5.671860
  161.000000000      22.216955487       1.855972160	5.620460
  171.000000000      18.866437184       1.834432927	5.569060
  181.000000000      16.173587501       1.812933669	5.517660
  191.000000000      13.982970799       1.791609266	5.466260
  201.000000000      12.181349290       1.770555776	5.415860
  211.000000000      10.685231447       1.749843083	5.374460
  221.000000000       9.432035436       1.729521947	5.333060
  231.000000000       8.374083039       1.709626736	5.291660
  241.000000000       7.474494553       1.690180744	5.250260
  251.000000000       6.704458970       1.671196337	5.208860
  261.000000000       6.041250739       1.652679556	5.167460
  271.000000000       5.466761890       1.634630112	5.126060
  281.000000000       4.966474184       1.617045131	5.084660
  291.000000000       4.528633432       1.599918140	5.043260
  301.000000000       4.143657342       1.583240224	5.002760
  311.000000000       3.803679398       1.567000600	4.970360
  321.000000000       3.502227908       1.551184887	4.937960
  331.000000000       3.233898437       1.535778705	4.905560
  341.000000000       2.994180384       1.520765950	4.873160
  351.000000000       2.779293923       1.506133104	4.840760
  361.000000000       2.586046777       1.491867370	4.808360
  371.000000000       2.411718468       1.477953793	4.775960
  381.000000000       2.254010699       1.464381157	4.743560
  391.000000000       2.110936637       1.451135369	4.711160
  401.000000000       1.980805961       1.438206796	4.679350
  411.000000000       1.862139148       1.425581921	4.652850
  421.000000000       1.753667487       1.413251396	4.626350
  431.000000000       1.654271380       1.401204006	4.599850
  441.000000000       1.562990268       1.389430980	4.573350
  451.000000000       1.478981936       1.377922394	4.546850
  461.000000000       1.401503821       1.366668759	4.520350
  471.000000000       1.329908554       1.355661447	4.493850
  481.000000000       1.263627562       1.344892550	4.467350
  491.000000000       1.202157919       1.334354013	4.440850
  501.000000000       1.145050838       1.324038217	4.414545
  511.000000000       1.091908937       1.313936821	4.390000
  521.000000000       1.042387106       1.304040479	4.194000
  531.000000000       0.996174457       1.294340706	4.194000
  541.000000000       0.952987998       1.284828155	4.194000
  551.000000000       0.912580330       1.275495494	4.194000
  561.000000000       0.874722959       1.266334526	4.194000
  571.000000000       0.839214068       1.257339354	4.194000
  581.000000000       0.805866002       1.248502646	4.194000
  591.000000000       0.774511599       1.239818218	4.194000
  601.000000000       0.745003324       1.231281612	4.194000
  611.000000000       0.717197020       1.222886933	4.194000
  621.000000000       0.690967442       1.214632887	4.194000
  631.000000000       0.666197107       1.206518324	4.194000
  641.000000000       0.642780758       1.198541373	4.194000
  651.000000000       0.620620469       1.190700310	4.194000
  661.000000000       0.599627409       1.182992977	4.194000
  671.000000000       0.579721448       1.175417505	4.194000
  681.000000000       0.560829970       1.167972672	4.194000
  691.000000000       0.542882407       1.160655674	4.194000
  701.000000000       0.525818506       1.153464786	4.194000
  711.000000000       0.509580140       1.146397346	4.194000
  721.000000000       0.494115397       1.139452349	4.194000
  731.000000000       0.479375711       1.132626774	4.194000
  741.000000000       0.465315570       1.125918969	4.194000
  751.000000000       0.451893812       1.119326704	4.194000
  761.000000000       0.439071360       1.112847247	4.194000
  771.000000000       0.426814315       1.106479447	4.194000
  781.000000000       0.415088598       1.100220717	4.194000
  791.000000000       0.403864944       1.094069475	4.194000
  801.000000000       0.393112691       1.088022917	4.194000
  811.000000000       0.382807356       1.082078094	4.194000
  821.000000000       0.372924495       1.076228608	4.194000
  831.000000000       0.363440596       1.070467054	4.194000
  841.000000000       0.354335060       1.064787751	4.194000
  851.000000000       0.345588476       1.059184588	4.194000
  861.000000000       0.337181323       1.053651525	4.194000
  871.000000000       0.329096993       1.048183819	4.194000
  881.000000000       0.321318193       1.042776290	4.194000
  891.000000000       0.313831012       1.037425490	4.194000
  901.000000000       0.306620460       1.032126312	4.194000
  911.000000000       0.299672982       1.026875953	4.194000
  921.000000000       0.292976501       1.021670243	4.194000
  931.000000000       0.286518307       1.016505946	4.194000
  941.000000000       0.280287510       1.011380258	4.194000
  951.000000000       0.274273917       1.006290232	4.194000
  961.000000000       0.268466707       1.001233063	4.194000
  971.000000000       0.262857720       0.996206955	4.194000
  981.000000000       0.257436729       0.991208958	4.194000
  991.000000000       0.252195969       0.986236917	4.194000
 1001.000000000       0.247127656       0.981289824	4.194000
 1011.000000000       0.242223935       0.976373935	4.194000
 1021.000000000       0.237476090       0.971520381	4.194000
 1031.000000000       0.232876840       0.966758858	4.194000
 1041.000000000       0.228419769       0.962092024	4.194000
 1051.000000000       0.224098747       0.957514703	4.194000
 1061.000000000       0.219908723       0.953022509	4.194000
 1071.000000000       0.215844449       0.948610410	4.194000
 1081.000000000       0.211901396       0.944274739	4.194000
 1091.000000000       0.208074637       0.940011397	4.194000
